Dataset: train=1405, val=156, test=4
Model config: {'sequence_len': 320, 'vocab_size': 4096, 'n_layer': 8, 'n_head': 8, 'd_model': 512, 'mlp_ratio': 4.0, 'dropout': 0.0}
Num params: 27.44M
Time budget: 300s

step 00165 (  5.0%) | loss: 3.3626 | lr: 9.97e-04 | grad: 0.74 | tok/sec: 1,376,956 | epoch: 16 | remaining: 285s   
step 00166 (  5.0%) | loss: 3.3476 | lr: 9.99e-04 | grad: 1.18 | tok/sec: 1,384,881 | epoch: 16 | remaining: 285s   
step 00167 (  5.0%) | loss: 3.3288 | lr: 1.00e-03 | grad: 1.00 | tok/sec: 1,387,184 | epoch: 16 | remaining: 285s   
step 00168 (  5.0%) | loss: 3.3273 | lr: 1.00e-03 | grad: 1.03 | tok/sec: 1,385,931 | epoch: 16 | remaining: 285s   
step 00169 (  5.0%) | loss: 3.3053 | lr: 1.00e-03 | grad: 0.77 | tok/sec: 1,377,243 | epoch: 16 | remaining: 285s   
step 00170 (  5.0%) | loss: 3.3088 | lr: 1.00e-03 | grad: 1.06 | tok/sec: 1,385,797 | epoch: 16 | remaining: 285s   
step 00171 (  5.1%) | loss: 3.2989 | lr: 1.00e-03 | grad: 0.96 | tok/sec: 1,379,532 | epoch: 16 | remaining: 285s   
step 00172 (  5.1%) | loss: 3.2913 | lr: 1.00e-03 | grad: 0.90 | tok/sec: 1,383,208 | epoch: 16 | remaining: 285s   
step 00173 (  5.1%) | loss: 3.2867 | lr: 1.00e-03 | grad: 1.04 | tok/sec: 1,380,230 | epoch: 16 | remaining: 285s   
step 00174 (  5.1%) | loss: 3.2883 | lr: 1.00e-03 | grad: 0.96 | tok/sec: 1,347,387 | epoch: 16 | remaining: 285s   
step 00175 (  5.1%) | loss: 3.2924 | lr: 1.00e-03 | grad: 0.75 | tok/sec: 1,390,362 | epoch: 17 | remaining: 285s   
step 00176 (  5.1%) | loss: 3.2730 | lr: 1.00e-03 | grad: 0.94 | tok/sec: 1,373,730 | epoch: 17 | remaining: 285s   
step 00177 (  5.1%) | loss: 3.2647 | lr: 1.00e-03 | grad: 1.08 | tok/sec: 1,384,423 | epoch: 17 | remaining: 285s   
step 00178 (  5.1%) | loss: 3.2543 | lr: 1.00e-03 | grad: 0.86 | tok/sec: 1,363,222 | epoch: 17 | remaining: 285s   
step 00179 (  5.1%) | loss: 3.2487 | lr: 1.00e-03 | grad: 0.99 | tok/sec: 1,365,323 | epoch: 17 | remaining: 285s   
